Validator Name,Stake Amount
Mysten-1,212252538767224829
Mysten-2,188880257735879481
Galaxy Digital,166026398114086688
Luganodes,154746213710639463
Aftermath,150224397567809418
Coinbase,139551312204498877
Suilend,139208548449620023
DSRV,135038778696774345
Overclock,130979136236399955
Blockscope.net,126088636814611458
Figment,124790807181333316
BartestneT,122672176290093072
Chainode Tech,119419199778100533
RepublicCrypto,117057350535664597
Chorus One,117050612264325688
Durian,115790432530686217
Persimmon,115789038946416441
Blockdaemon,113440161164268517
n1stake,112823132588199183
Staketab,110436602539565846
BlockVision,109238474388271136
Triton One,104620119135895572
mrgn,103876251733327895
Everstake,96055237107199977
P2P.ORG,91832312966714024
Moonlet,86905463516262357
Ahoy Validator,86170416020656964
Cosmostation,85770815644957987
Staking Defense League,85730235547735052
Kraken,84915913052209475
KiligLab,83489532139574661
ContributionDAO,83103931009554298
Alchemy,80482975976267401
Artifact,80252450688714802
Nodeinfra,79324692744725865
Coinage x DAIC,79319684235804968
Stardust Staking,79017608614612474
TPT,77997617898752778
Kiln,76767894077397281
P-OPS Team,76515355697330367
TrustedPoint,75995673208134924
ChainIDE,75480332622165851
LumiWave,74203303820770754
OKXEarn,71105005064405336
Ankr,67737642455845733
HEEBOO,66600812175911146
01node,65571944222719375
Swyke,65468113585398635
StakingCabin,65316900781525323
Chainflow,64303563133218123
Laine,63771067046668131
Staking Facilities,63033212621023100
Stakin,61920647396287067
Citadel.one,57732943810816554
Haedal Protocol,57628360545441842
HashedPotatoes,55930684518725267
ORBR,55920528771555640
Anchorage Digital-2,53287317877410932
Studio Mirai,51365982252969892
Shinlabs,45255018532578069
Allnodes,44389878907541404
Cetus,44185402890448526
AlphaFi,41365238994036777
Nelrann,40884326441719853
NAVI Protocol,39594830164895040
Nansen | Stake to Stack Points,39495699722274034
H2O Nodes,38578900550924908
Nodes.Guru,38225143411235595
proofgroup,37822049395101280
Imperator.co,37746971301972396
B-Harvest,37622165783717231
SynergyNodes,37603159907115999
Astro-Stakers,37068436323006525
SyncNode,35499789531192996
Obelisk,35295601116898611
Interest Labs,35278699152506204
Suiet,35209349470879553
Chainbase Staking,33784912554732963
Ika,33393377052498882
Anchorage Digital-1,32738359679924671
Ledger by P2P.ORG,32665564802263520
Brightlystake,32566675763692689
Sentio,32484739644220745
Karrier One,32245536031549549
TradePort,31398934348616554
Stakely,31137076349492609
Surf,30911400239794661
Bucket Protocol,30454333015409524
Asymmetric Research,30038558801384893
Hinode Technologies,29881829114792000
Omnistake,29880238253527729
HashKey Cloud,29137946735085844
ProStaking,29066624792355033
QuantNode,29028465912493177
BLRD,29009808831435063
A41,28994266228046995
TDMTech,28806361327341044
iBriz.ai,28790674402248071
XPRV,28261702619534386
Latitude.sh,27906077008873101
Forbole,27540685934512001
GiveRep,27138796547792501
Cypher Capital,27070348026867013
[NODERS] x Talentum,26020519298582214
Swiss Staking,25789065722341874
hoh.zone,25583164176922702
Cogent Crypto,25431347792175887
stakefish,24879101625521459
MIDL.dev,24535593692057345
Scale3Labs,24269655070838595
Peeranha,23678862766749455
Neuler,23547854672745594
ZKV,22591087890281450
SenseiNode,21694351121478735
BiXinKelePool,17220631821936868
DoubleUp,16419713410923314
Node Guardians,16037119179243976
Scallop,15362702195496342
FP Validated,15183314763514495
Encapsulate,14085592618374688
InfStones,13696803745481288
Kriya Validator,3237692406412718
TenX Protocols,3001576799280982
