Validator_Index,Stake_Weight,Ticket_Count,Stake_Percentage,Ticket_Percentage
1,212252538767224829,3,2.82%,4.11%
2,188880257735879481,3,2.51%,4.11%
3,166026398114086688,2,2.21%,2.74%
4,154746213710639463,2,2.06%,2.74%
5,150224397567809418,2,2.00%,2.74%
6,139551312204498877,2,1.85%,2.74%
7,139208548449620023,2,1.85%,2.74%
8,135038778696774345,2,1.79%,2.74%
9,130979136236399955,2,1.74%,2.74%
10,126088636814611458,2,1.68%,2.74%
11,124790807181333316,2,1.66%,2.74%
12,122672176290093072,2,1.63%,2.74%
13,119419199778100533,2,1.59%,2.74%
14,117057350535664597,1,1.56%,1.37%
15,117050612264325688,1,1.56%,1.37%
16,115790432530686217,1,1.54%,1.37%
17,115789038946416441,1,1.54%,1.37%
18,113440161164268517,1,1.51%,1.37%
19,112823132588199183,1,1.50%,1.37%
20,110436602539565846,1,1.47%,1.37%
21,109238474388271136,1,1.45%,1.37%
22,104620119135895572,1,1.39%,1.37%
23,103876251733327895,1,1.38%,1.37%
24,96055237107199977,1,1.28%,1.37%
25,91832312966714024,1,1.22%,1.37%
26,86905463516262357,1,1.16%,1.37%
27,86170416020656964,1,1.15%,1.37%
28,85770815644957987,1,1.14%,1.37%
29,85730235547735052,1,1.14%,1.37%
30,84915913052209475,1,1.13%,1.37%
31,83489532139574661,1,1.11%,1.37%
32,83103931009554298,1,1.10%,1.37%
33,80482975976267401,1,1.07%,1.37%
34,80252450688714802,1,1.07%,1.37%
35,79324692744725865,1,1.05%,1.37%
36,79319684235804968,1,1.05%,1.37%
37,79017608614612474,1,1.05%,1.37%
38,77997617898752778,1,1.04%,1.37%
39,76767894077397281,1,1.02%,1.37%
40,76515355697330367,1,1.02%,1.37%
41,75995673208134924,1,1.01%,1.37%
42,75480332622165851,1,1.00%,1.37%
43,74203303820770754,1,0.99%,1.37%
44,71105005064405336,1,0.95%,1.37%
45,67737642455845733,1,0.90%,1.37%
46,66600812175911146,1,0.89%,1.37%
47,65571944222719375,1,0.87%,1.37%
48,65468113585398635,1,0.87%,1.37%
49,65316900781525323,1,0.87%,1.37%
50,64303563133218123,1,0.85%,1.37%
51,63771067046668131,1,0.85%,1.37%
52,63033212621023100,1,0.84%,1.37%
53,61920647396287067,1,0.82%,1.37%
54,57732943810816554,1,0.77%,1.37%
55,57628360545441842,1,0.77%,1.37%
56,55930684518725267,1,0.74%,1.37%
57,55920528771555640,1,0.74%,1.37%
58,53287317877410932,1,0.71%,1.37%
59,51365982252969892,0,0.68%,0.00%
60,45255018532578069,0,0.60%,0.00%
61,44389878907541404,0,0.59%,0.00%
62,44185402890448526,0,0.59%,0.00%
63,41365238994036777,0,0.55%,0.00%
64,40884326441719853,0,0.54%,0.00%
65,39594830164895040,0,0.53%,0.00%
66,39495699722274034,0,0.52%,0.00%
67,38578900550924908,0,0.51%,0.00%
68,38225143411235595,0,0.51%,0.00%
69,37822049395101280,0,0.50%,0.00%
70,37746971301972396,0,0.50%,0.00%
71,37622165783717231,0,0.50%,0.00%
72,37603159907115999,0,0.50%,0.00%
73,37068436323006525,0,0.49%,0.00%
74,35499789531192996,0,0.47%,0.00%
75,35295601116898611,0,0.47%,0.00%
76,35278699152506204,0,0.47%,0.00%
77,35209349470879553,0,0.47%,0.00%
78,33784912554732963,0,0.45%,0.00%
79,33393377052498882,0,0.44%,0.00%
80,32738359679924671,0,0.44%,0.00%
81,32665564802263520,0,0.43%,0.00%
82,32566675763692689,0,0.43%,0.00%
83,32484739644220745,0,0.43%,0.00%
84,32245536031549549,0,0.43%,0.00%
85,31398934348616554,0,0.42%,0.00%
86,31137076349492609,0,0.41%,0.00%
87,30911400239794661,0,0.41%,0.00%
88,30454333015409524,0,0.40%,0.00%
89,30038558801384893,0,0.40%,0.00%
90,29881829114792000,0,0.40%,0.00%
91,29880238253527729,0,0.40%,0.00%
92,29137946735085844,0,0.39%,0.00%
93,29066624792355033,0,0.39%,0.00%
94,29028465912493177,0,0.39%,0.00%
95,29009808831435063,0,0.39%,0.00%
96,28994266228046995,0,0.39%,0.00%
97,28806361327341044,0,0.38%,0.00%
98,28790674402248071,0,0.38%,0.00%
99,28261702619534386,0,0.38%,0.00%
100,27906077008873101,0,0.37%,0.00%
101,27540685934512001,0,0.37%,0.00%
102,27138796547792501,0,0.36%,0.00%
103,27070348026867013,0,0.36%,0.00%
104,26020519298582214,0,0.35%,0.00%
105,25789065722341874,0,0.34%,0.00%
106,25583164176922702,0,0.34%,0.00%
107,25431347792175887,0,0.34%,0.00%
108,24879101625521459,0,0.33%,0.00%
109,24535593692057345,0,0.33%,0.00%
110,24269655070838595,0,0.32%,0.00%
111,23678862766749455,0,0.31%,0.00%
112,23547854672745594,0,0.31%,0.00%
113,22591087890281450,0,0.30%,0.00%
114,21694351121478735,0,0.29%,0.00%
115,17220631821936868,0,0.23%,0.00%
116,16419713410923314,0,0.22%,0.00%
117,16037119179243976,0,0.21%,0.00%
118,15362702195496342,0,0.20%,0.00%
119,15183314763514495,0,0.20%,0.00%
120,14085592618374688,0,0.19%,0.00%
121,13696803745481288,0,0.18%,0.00%
122,3237692406412718,0,0.04%,0.00%
123,3001576799280982,0,0.04%,0.00%
